"","logFC","logCPM","LR","PValue","FDR","FC"
"A1BG",-1.16713803993589,4.0029240286665,24.8367124987051,6.23976758052259e-07,2.43292562630027e-06,-2.24565770287118
"A1CF",-1.68466956841766,2.22316231016693,16.1213275083799,5.94111995113927e-05,0.000172272899645082,-3.21466759851195
"A2M",-0.723305589756071,8.65501669865053,4.11413261313363,0.042526327071271,0.0685319462916962,-1.6509604842579
"A2ML1",-0.692609207483638,2.95078002985055,3.52262947109219,0.0605363344289109,0.0936577576130791,-1.61620388628676
"A4GALT",1.42950111286291,3.33991936402459,25.4488823535377,4.54260738510872e-07,1.81041307914826e-06,2.69353556211063
"AAAS",0.469874587752419,5.41356570200997,4.67671148027773,0.0305742236793545,0.0508489503973136,1.38498906696126
"AACS",-0.426011140161017,5.32107316888829,6.93505193121001,0.00845226089452875,0.0161792250480477,-1.34351379998741
"AADAC",2.21374983333607,3.0018706758526,13.8080821656782,0.000202463408062464,0.000537121517067554,4.63879417061637
"AADACL2",1.81484420511278,2.66624701761644,7.07227714264745,0.00782856972260632,0.0150874771558334,3.51821635525905
"AADAT",0.289893057037842,2.82799424206375,1.20589875984659,0.272145885722521,0.347152588440181,1.22254965013517
"AAED1",-0.662491919517333,3.42622826169289,12.332877966036,0.000445049732975316,0.00110880882033397,-1.58281420668784
"AAGAB",1.39839153774618,4.72568077505959,67.0924878415081,2.59063691658584e-16,3.05286514024454e-15,2.63607521951084
"AAK1",0.856230208303813,7.2208190791779,25.9917910602656,3.42872173770304e-07,1.39276980973944e-06,1.81030176938135
"AAMDC",-0.485044915940431,3.90786068097312,11.1472952566266,0.000841542835047813,0.00199228033206088,-1.39962944008057
"AAMP",0.314454956802986,6.55996839121455,5.33550195595566,0.020895321974857,0.0362912720076527,1.24354176048993
"AANAT",0.695156122645333,2.36559732662168,7.45946487893197,0.00631037626942892,0.0124175174748457,1.61905963172586
"AAR2",0.919878478558153,4.82845277996036,45.7797753017831,1.32322672868904e-11,9.47863633151383e-11,1.89195592304477
"AARD",-0.375754457720378,1.96714509960941,1.38995993876067,0.238411865128083,0.309708589230527,-1.29751791456838
"AARS",1.33237131066963,7.00504946747414,55.77796357827,8.11359323464381e-14,7.40225170796594e-13,2.51816237047645
"AARS2",0.352815121729753,5.59280890073731,4.56988547837105,0.0325387405778643,0.0538223053025812,1.27705009748257
"AARSD1",1.13043825868487,4.90005338695719,54.2487154728267,1.76652587218642e-13,1.55434648687159e-12,2.18925234771861
"AASDH",0.0212997992648891,5.18517759048972,0.0210512641302074,0.884639389057041,0.909858993693449,1.01487342045635
"AASDHPPT",0.0859843503827167,4.89678943452206,0.436825353973468,0.508658715224102,0.585645298903703,1.06141169523662
"AASS",0.271724163135022,4.63162788002882,1.23961779451582,0.265544726852854,0.339909268883496,1.20724974864519
"AATK",1.26505969926098,5.43598546307195,18.9020489273584,1.37604795656534e-05,4.39835469951198e-05,2.40337154941065
"ABAT",-0.829644921957446,4.08154479370268,17.2613598443585,3.25744138577749e-05,9.84329879982429e-05,-1.77724788986029
"ABCA1",0.29633047497547,7.94327530393249,1.86854698906535,0.171641587457485,0.233084066033752,1.22801695083745
"ABCA10",0.178763752433437,3.7833516702724,0.17985290603599,0.671499681239209,0.733939417256585,1.13191353118623
"ABCA11P",-1.91245425798025,2.20632731897338,53.7221846634492,2.30940746677961e-13,1.99980292284612e-12,-3.76448955940275
"ABCA12",0.20863131089809,3.57804294172669,0.486249130538063,0.485605269481212,0.56352698256473,1.15559135073107
"ABCA13",0.547008060149906,5.36990513558566,3.3998013074459,0.0652042728719999,0.100058644874211,1.46105254123375
"ABCA2",1.40876522403866,6.94655078368398,43.5911453767338,4.04665889419377e-11,2.72264161283946e-10,2.65509820606972
"ABCA3",1.13708500240548,5.48186675314485,15.5927936572489,7.85534011539192e-05,0.000223300251113523,2.19936187940506
"ABCA4",-0.808706664347782,4.43934527775648,10.1458068705574,0.00144629845172093,0.00327422453950202,-1.75164044201652
"ABCA5",0.313029704874869,5.02621233619176,2.81515941936609,0.0933776193663368,0.137420064627768,1.24231386057748
"ABCA6",-0.96028715758049,4.95927010456319,13.2868204454813,0.00026727837722828,0.000694529112147907,-1.94569713264279
"ABCA7",0.679832690715511,5.1188240356564,9.76232738626556,0.00178124269509119,0.00396047836394027,1.601953965871
"ABCA8",-0.290762528482102,4.45428790945751,0.430512326262942,0.511737664598003,0.588847800922927,-1.22328666825457
"ABCA9",-1.88989556645287,4.53561992801844,33.6984116419203,6.43532119083376e-09,3.29313786818821e-08,-3.70608396251717
"ABCB1",0.536548550405735,2.50906314701813,2.17100152784198,0.140634617242845,0.19641720175416,1.45049824542976
"ABCB10",0.672187376552973,5.08063443315548,14.3225936714658,0.000154005356247787,0.000416590406874884,1.59348714049163
"ABCB4",-0.831916277679219,1.8435824451334,4.25860090121211,0.03905207239095,0.0634170739800949,-1.78004816394729
"ABCB5",-1.49844795223846,1.74539921864421,11.9761594688125,0.000538855272114051,0.00132254607155468,-2.82538594597121
"ABCB6",0.720552059475076,4.75969338498038,21.1822310505046,4.1761844644524e-06,1.45559880167247e-05,1.64781246330183
"ABCB7",1.81338685938646,4.94255898445625,114.710006425228,9.1090094595874e-27,3.42680503137637e-25,3.51466420554377
"ABCB8",0.388582173031276,5.4268794830333,7.65046575852328,0.00567576656808645,0.0112746508096517,1.30910623060895
"ABCB9",0.142783489732969,4.52419869361528,0.594280160080189,0.440768763858565,0.520379849570775,1.104033148632
"ABCC1",1.05473833882947,6.79386503579687,27.5326448844438,1.54465196194268e-07,6.57462987725022e-07,2.07734140563326
"ABCC10",0.351962051200336,5.92139334591542,4.22618327936274,0.0398048555003023,0.0645336576326941,1.27629519658647
"ABCC2",-1.17782670140715,2.22128273534684,20.428027357036,6.191634443332e-06,2.09760655216026e-05,-2.26235715179062
"ABCC3",-0.0443470492856641,5.27485297570465,0.0383314340214014,0.844779115193498,0.877453204810458,-1.03121635448287
"ABCC4",-0.26850410113403,5.77645365857402,1.13712890827414,0.286259822062239,0.362383747248161,-1.20455819995167
"ABCC5",0.0197557013060773,7.30458726951551,0.0237236707639781,0.87759010007646,0.903723797464952,1.01378779554778
"ABCC6",0.104370024730246,3.31030476296252,0.172425641655323,0.677964999522876,0.739046710884666,1.07502486159438
"ABCC9",-1.28418712258027,5.5715349284795,22.7932938900881,1.80394077168633e-06,6.63357648989274e-06,-2.43544790293122
"ABCD1",2.28395806056832,3.68317011630381,78.161710240201,9.49411248188018e-19,1.48291670106527e-17,4.87012249716482
"ABCD2",0.212288807532746,0.995378886982205,0.238922054940488,0.624985749706367,0.692156094248614,1.15852470355605
"ABCD3",-0.723474880576826,6.33498971453115,31.0461484830656,2.51965809856597e-08,1.19311171673581e-07,-1.65115422503225
"ABCD4",1.17887276456025,5.8570287434901,75.3682553281145,3.90620038432492e-18,5.72307138639576e-17,2.26399812688696
"ABCE1",0.152642444171767,5.89268790666012,1.17358222846129,0.278666409758125,0.354243406192246,1.11160362485039
"ABCF1",-0.0385564792794481,6.68520216530638,0.0813890028714255,0.775423827967067,0.821262711471339,-1.02708563889573
"ABCF2",-0.122765471683331,6.10039120156181,0.72064432428737,0.395932640419322,0.476069022089374,-1.08881999949322
"ABCF3",0.650808133436545,6.54666945454323,26.1092606712963,3.22632895361707e-07,1.31663483554206e-06,1.5700474200805
"ABCG1",1.0515263701288,4.90385980519483,25.0855564285439,5.48421035156267e-07,2.16120735377083e-06,2.0727216257495
"ABCG2",-0.616402824422757,2.37083931329431,3.59168490744024,0.0580693389196576,0.0902642251260709,-1.53304795291048
"ABHD1",-0.68496484901941,3.30347190239648,6.97015327391913,0.00828803972423946,0.0158956131209136,-1.60766281062129
"ABHD10",0.962863353690212,4.38230411531505,23.148256592034,1.49979120989233e-06,5.57598431508795e-06,1.94917463500645
"ABHD11",1.16353635415321,5.09321963307038,31.2850510630134,2.22788537502753e-08,1.0650542882489e-07,2.24005841434674
"ABHD12",1.73601317281663,5.79802628544468,78.2746428887727,8.96655024462889e-19,1.40467084841179e-17,3.33113349896633
"ABHD12B",-2.86094506854539,3.66891529684483,116.768296679656,3.22642301287356e-27,1.28392180095204e-25,-7.26491072079555
